,id,pid,ms_subclass,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,is_train,saleprice
16,1311,902301140,70,RM,34.0,4571,Pave,Grvl,16,Lvl,16,Inside,9,OldTown,Norm,Norm,1Fam,2Story,25,25,1916,1950,Gable,CompShg,AsbShng,AsbShng,0,0.0,9,9,BrkTil,9.0,9.0,1.0,1.0,0.0,1.0,0.0,624.0,624.0,GasA,4,0,25.0,624,720,0,1344,0.0,0.0,1,0,4,1,9,7,49,0,0.0,Detchd,1.0,3.0,513.0,4.0,4.0,1,0,0,96,0,0,0,0.0,0.0,None,0,5,2008,COD,1,98000
17,770,905101490,20,RL,80.0,8816,Pave,None,16,Lvl,16,Corner,9,Sawyer,Feedr,Norm,1Fam,1Story,25,36,1963,1963,Gable,CompShg,VinylSd,VinylSd,0,0.0,9,9,PConc,9.0,9.0,1.0,9.0,651.0,1.0,0.0,470.0,1121.0,GasA,9,1,25.0,1121,0,0,1121,1.0,0.0,1,0,3,1,9,5,49,0,0.0,Detchd,1.0,2.0,480.0,9.0,9.0,1,0,80,0,0,0,0,0.0,9.0,None,0,6,2009,WD ,1,139000
18,2063,905107140,20,RL,71.0,8197,Pave,None,16,Lvl,16,Inside,9,Sawyer,Norm,Norm,1Fam,1Story,36,25,1977,1977,Gable,CompShg,Plywood,Plywood,1,148.0,9,9,CBlock,9.0,9.0,1.0,1.0,0.0,1.0,0.0,660.0,660.0,GasA,25,1,25.0,1285,0,0,1285,0.0,0.0,1,1,3,1,9,7,49,1,9.0,Attchd,4.0,2.0,528.0,9.0,9.0,1,138,0,0,0,0,0,0.0,9.0,None,0,4,2007,WD ,1,143500
19,69,528458070,60,FV,72.0,8640,Pave,None,16,Lvl,16,Inside,9,Somerst,Norm,Norm,1Fam,2Story,49,25,2009,2009,Gable,CompShg,VinylSd,VinylSd,0,0.0,9,9,PConc,16.0,9.0,4.0,36.0,24.0,1.0,0.0,732.0,756.0,GasA,25,1,25.0,764,783,0,1547,0.0,0.0,2,1,3,1,16,7,49,0,0.0,Attchd,1.0,2.0,614.0,9.0,9.0,1,169,45,0,0,0,0,0.0,0.0,None,0,6,2010,Con,1,215200
20,2062,905106150,20,RL,109.0,8724,Pave,None,16,Lvl,16,Inside,9,Sawyer,Norm,Norm,1Fam,1Story,25,25,1968,1968,Gable,CompShg,VinylSd,VinylSd,0,0.0,9,9,CBlock,16.0,9.0,1.0,16.0,492.0,1.0,0.0,402.0,894.0,GasA,16,1,25.0,894,0,0,894,0.0,0.0,1,0,3,1,9,5,49,1,1.0,Attchd,9.0,2.0,450.0,9.0,9.0,1,0,0,0,0,0,0,0.0,0.0,None,0,5,2007,WD ,1,129000
21,351,527131030,120,RL,40.0,5664,Pave,None,9,Lvl,16,Inside,9,StoneBr,Norm,Norm,TwnhsE,1Story,64,25,2000,2000,Gable,CompShg,CemntBd,CmentBd,0,0.0,16,9,PConc,16.0,9.0,1.0,36.0,1158.0,1.0,0.0,343.0,1501.0,GasA,25,1,25.0,1659,0,0,1659,1.0,0.0,2,0,2,1,25,5,49,1,25.0,Attchd,9.0,2.0,499.0,9.0,9.0,1,212,59,0,0,0,0,0.0,0.0,None,0,10,2009,WD ,1,278000
22,2393,528142010,60,RL,103.0,12867,Pave,None,9,Lvl,16,Corner,9,NridgHt,Norm,Norm,1Fam,2Story,64,25,2005,2006,Gable,CompShg,CemntBd,CmentBd,0,0.0,16,9,PConc,25.0,9.0,9.0,1.0,0.0,1.0,0.0,1209.0,1209.0,GasA,25,1,25.0,1209,1044,0,2253,0.0,0.0,2,1,3,1,25,8,49,1,16.0,Attchd,9.0,2.0,575.0,9.0,9.0,1,243,142,0,0,0,0,0.0,0.0,None,0,7,2006,New,1,344133
23,12,527165230,20,RL,68.0,7980,Pave,None,9,Lvl,16,Inside,9,Gilbert,Norm,Norm,1Fam,1Story,36,49,1992,2007,Gable,CompShg,HdBoard,HdBoard,0,0.0,9,16,PConc,16.0,9.0,1.0,25.0,935.0,1.0,0.0,233.0,1168.0,GasA,25,1,25.0,1187,0,0,1187,1.0,0.0,2,0,3,1,9,6,49,0,0.0,Attchd,9.0,2.0,420.0,9.0,9.0,1,483,21,0,0,0,0,0.0,16.0,Shed,500,3,2010,WD ,1,185000
24,2339,527250040,190,RL,100.0,34650,Pave,None,16,Bnk,16,Inside,9,Gilbert,Norm,Norm,2fmCon,1Story,25,25,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,0,0.0,9,9,CBlock,9.0,9.0,4.0,9.0,1056.0,1.0,0.0,0.0,1056.0,GasA,9,0,25.0,1056,0,0,1056,1.0,0.0,1,0,3,1,9,5,49,0,0.0,Attchd,9.0,2.0,572.0,9.0,9.0,1,264,0,0,0,0,0,0.0,0.0,None,0,1,2006,WD ,1,145000
25,624,535104120,20,RL,92.0,10573,Pave,None,9,Lvl,16,Corner,9,NAmes,Norm,Norm,1Fam,1Story,36,36,1961,1961,Hip,CompShg,MetalSd,MetalSd,1,3.0,9,9,CBlock,9.0,9.0,1.0,9.0,1312.0,1.0,0.0,141.0,1453.0,GasA,25,1,25.0,1453,0,0,1453,1.0,0.0,2,0,3,1,9,6,49,1,9.0,Attchd,4.0,2.0,530.0,9.0,9.0,1,0,49,0,0,288,0,0.0,16.0,None,0,4,2009,WD ,1,187500
26,86,532376160,20,RL,65.0,8450,Pave,None,16,Lvl,16,Inside,9,Sawyer,RRAe,Norm,1Fam,1Story,25,64,1965,2009,Gable,CompShg,MetalSd,MetalSd,0,0.0,9,16,CBlock,9.0,9.0,1.0,36.0,553.0,16.0,117.0,224.0,894.0,GasA,25,1,25.0,894,0,0,894,1.0,0.0,1,0,3,1,9,5,49,1,16.0,Detchd,1.0,1.0,336.0,9.0,9.0,1,416,144,0,0,0,0,0.0,9.0,None,0,4,2010,WD ,1,138500
27,1534,909277040,50,RL,68.0,11700,Pave,Grvl,9,HLS,16,Inside,16,Crawfor,Norm,Norm,1Fam,1.5Fin,25,36,1937,1995,Gable,CompShg,WdShing,Wd Shng,0,0.0,9,9,CBlock,9.0,9.0,1.0,16.0,606.0,1.0,0.0,336.0,942.0,GasA,25,1,25.0,1265,673,0,1938,0.0,0.0,2,0,4,1,16,7,25,1,16.0,Detchd,1.0,1.0,240.0,9.0,9.0,1,0,40,0,0,0,0,0.0,0.0,None,0,7,2008,WD ,1,198000
28,2243,911103060,190,C (all),75.0,8250,Pave,None,16,Lvl,16,Inside,9,IDOTRR,Feedr,Norm,2fmCon,2Story,25,36,1895,2006,Gable,CompShg,VinylSd,VinylSd,0,0.0,9,16,CBlock,9.0,9.0,1.0,1.0,0.0,1.0,0.0,957.0,957.0,GasA,4,0,25.0,1034,957,0,1991,0.0,0.0,2,0,4,2,9,9,49,0,0.0,None,0.0,0.0,0.0,0.0,0.0,0,0,0,133,0,0,0,0.0,0.0,None,0,6,2007,WD ,1,119600
29,1957,535450190,50,RL,60.0,8064,Pave,None,16,Lvl,16,Corner,9,NAmes,Artery,Norm,1Fam,1.5Fin,25,49,1949,2006,Gable,CompShg,MetalSd,MetalSd,0,0.0,9,16,CBlock,9.0,9.0,4.0,1.0,0.0,1.0,0.0,672.0,672.0,GasA,25,1,25.0,672,252,0,924,0.0,0.0,1,0,3,1,9,6,49,1,1.0,Detchd,1.0,2.0,576.0,9.0,9.0,1,0,0,0,0,0,0,0.0,9.0,Shed,2000,7,2007,WD ,1,122900
30,380,527355150,20,RL,80.0,9600,Pave,None,16,Lvl,16,Inside,9,NWAmes,PosN,Norm,1Fam,1Story,64,25,1981,1981,Hip,WdShngl,BrkFace,BrkFace,0,0.0,16,9,PConc,16.0,9.0,1.0,25.0,1104.0,1.0,0.0,1420.0,2524.0,GasA,9,1,25.0,2524,0,0,2524,1.0,0.0,2,1,4,1,16,9,49,1,16.0,Attchd,9.0,2.0,542.0,9.0,9.0,1,474,120,0,0,0,0,0.0,9.0,None,0,7,2009,WD ,1,278000
31,2860,909276010,70,RL,68.0,11435,Pave,None,9,HLS,16,Corner,16,Crawfor,Norm,Norm,1Fam,2Story,64,49,1929,1950,Gable,CompShg,BrkFace,Stucco,0,0.0,9,9,PConc,16.0,9.0,1.0,1.0,0.0,1.0,0.0,792.0,792.0,GasA,4,1,25.0,792,725,0,1517,0.0,0.0,1,0,3,1,16,7,49,2,16.0,Detchd,1.0,2.0,400.0,9.0,9.0,1,0,0,0,0,0,0,0.0,0.0,None,0,6,2006,WD ,1,230000
32,2517,533250130,120,RL,30.0,9549,Pave,None,9,Lvl,16,CulDSac,9,Veenker,Norm,Norm,TwnhsE,1Story,64,25,1995,1996,Hip,CompShg,BrkFace,BrkFace,0,0.0,16,16,PConc,16.0,16.0,9.0,4.0,437.0,36.0,1057.0,0.0,1494.0,GasA,25,1,25.0,1494,0,0,1494,1.0,0.0,1,1,2,1,25,6,49,1,16.0,Attchd,9.0,2.0,481.0,9.0,9.0,1,0,30,0,0,216,0,0.0,0.0,None,0,4,2006,WD ,1,270000
33,1933,535302070,20,RL,60.0,10950,Pave,None,16,Lvl,16,Inside,9,NAmes,Norm,Norm,1Fam,1Story,36,36,1952,1952,Hip,CompShg,Wd Sdng,Wd Sdng,0,0.0,9,9,CBlock,9.0,9.0,1.0,25.0,441.0,1.0,0.0,507.0,948.0,GasA,9,1,25.0,948,0,0,948,0.0,0.0,1,0,2,1,9,5,49,0,0.0,Detchd,1.0,2.0,410.0,9.0,9.0,0,0,48,0,0,0,0,0.0,0.0,None,0,4,2007,WD ,1,125000
34,820,906340110,20,RL,79.0,10637,Pave,None,16,Lvl,16,Inside,9,CollgCr,Norm,Norm,1Fam,1Story,64,25,2007,2008,Hip,CompShg,VinylSd,VinylSd,1,336.0,16,9,PConc,25.0,9.0,16.0,36.0,1288.0,1.0,0.0,417.0,1705.0,GasA,25,1,25.0,1718,0,0,1718,1.0,0.0,2,0,3,1,16,7,49,1,16.0,Attchd,4.0,3.0,826.0,9.0,9.0,1,208,44,0,0,0,0,0.0,0.0,None,0,9,2009,WD ,1,297000
35,675,535426150,20,RL,80.0,9000,Pave,None,9,HLS,16,Inside,16,NAmes,Norm,Norm,1Fam,1Story,36,36,1958,1958,Flat,Tar&Grv,Wd Sdng,Wd Sdng,1,82.0,9,9,CBlock,16.0,9.0,16.0,1.0,0.0,1.0,0.0,160.0,160.0,GasA,4,1,25.0,1142,0,0,1142,0.0,0.0,1,0,2,1,9,5,49,1,16.0,Basment,4.0,1.0,384.0,9.0,9.0,1,0,28,64,0,0,0,0.0,0.0,None,0,4,2009,WD ,1,113500
36,2910,923225240,160,RM,41.0,2665,Pave,None,16,Lvl,16,Inside,9,MeadowV,Norm,Norm,TwnhsE,2Story,25,36,1977,1977,Gable,CompShg,CemntBd,CmentBd,0,0.0,9,9,PConc,9.0,9.0,1.0,25.0,548.0,9.0,173.0,36.0,757.0,GasA,25,1,25.0,925,550,0,1475,0.0,0.0,2,0,4,1,9,6,49,1,9.0,Attchd,4.0,1.0,336.0,9.0,9.0,1,104,26,0,0,0,0,0.0,0.0,None,0,7,2006,WD ,1,127000
37,21,527358140,20,RL,105.0,11751,Pave,None,9,Lvl,16,Inside,9,NWAmes,Norm,Norm,1Fam,1Story,36,36,1977,1977,Hip,CompShg,Plywood,Plywood,1,480.0,9,9,CBlock,16.0,9.0,1.0,16.0,705.0,1.0,0.0,1139.0,1844.0,GasA,25,1,25.0,1844,0,0,1844,0.0,0.0,2,0,3,1,9,7,49,1,9.0,Attchd,4.0,2.0,546.0,9.0,9.0,1,0,122,0,0,0,0,0.0,9.0,None,0,1,2010,COD,1,190000
38,1873,534177210,20,RL,80.0,9600,Pave,None,16,Lvl,16,Inside,9,NWAmes,Norm,Norm,1Fam,1Story,49,36,1973,1973,Hip,CompShg,HdBoard,HdBoard,1,320.0,9,9,CBlock,9.0,9.0,1.0,25.0,916.0,1.0,0.0,326.0,1242.0,GasA,4,1,25.0,1242,0,0,1242,0.0,0.0,1,1,3,1,9,6,49,1,9.0,Attchd,1.0,2.0,528.0,9.0,9.0,1,0,0,0,0,0,0,0.0,0.0,None,0,9,2007,WD ,1,175500
39,2125,907135050,20,RL,60.0,8428,Pave,None,4,Lvl,16,Inside,9,CollgCr,Norm,Norm,1Fam,1Story,25,49,1994,1994,Gable,CompShg,VinylSd,VinylSd,0,0.0,9,16,PConc,16.0,16.0,1.0,36.0,420.0,1.0,0.0,570.0,990.0,GasA,25,1,25.0,990,0,0,990,1.0,0.0,1,0,3,1,9,5,49,0,0.0,Detchd,1.0,1.0,384.0,9.0,9.0,1,256,0,0,0,0,0,0.0,0.0,None,0,7,2007,WD ,1,146000
40,1489,908102260,20,RL,75.0,9937,Pave,None,16,Lvl,16,Inside,9,Edwards,Norm,Norm,1Fam,1Story,25,36,1965,1965,Gable,CompShg,HdBoard,HdBoard,0,0.0,16,9,CBlock,9.0,9.0,1.0,16.0,830.0,4.0,290.0,136.0,1256.0,GasA,16,1,25.0,1256,0,0,1256,1.0,0.0,1,1,3,1,9,6,49,0,0.0,Attchd,9.0,1.0,276.0,9.0,9.0,1,736,68,0,0,0,0,0.0,0.0,None,0,6,2008,WD ,1,147500
41,2383,528110050,20,RL,107.0,13891,Pave,None,16,Lvl,16,Inside,9,NridgHt,Norm,Norm,1Fam,1Story,100,25,2006,2006,Gable,CompShg,VinylSd,VinylSd,0,0.0,25,9,PConc,25.0,16.0,16.0,36.0,1386.0,1.0,0.0,690.0,2076.0,GasA,25,1,25.0,2076,0,0,2076,1.0,0.0,2,1,2,1,25,7,49,1,16.0,Attchd,9.0,3.0,850.0,9.0,9.0,1,216,229,0,0,0,0,0.0,0.0,None,0,9,2006,New,1,465000
42,983,923275040,85,RL,68.0,9101,Pave,None,9,Lvl,16,Corner,9,Mitchel,Norm,Norm,1Fam,SFoyer,25,36,1978,1978,Gable,CompShg,Plywood,Plywood,1,104.0,9,16,PConc,16.0,9.0,9.0,36.0,1097.0,1.0,0.0,0.0,1097.0,GasA,25,1,25.0,1110,0,0,1110,1.0,0.0,1,0,1,1,16,4,49,1,9.0,Attchd,9.0,2.0,602.0,9.0,9.0,1,303,30,0,0,0,0,0.0,0.0,None,0,7,2009,WD ,1,165500
43,1325,902406090,50,RM,81.0,12150,Pave,Grvl,16,Lvl,16,Inside,9,OldTown,Norm,Norm,1Fam,1.5Fin,25,25,1954,1954,Gable,CompShg,MetalSd,MetalSd,1,335.0,9,9,BrkTil,9.0,9.0,1.0,1.0,0.0,1.0,0.0,1050.0,1050.0,GasA,25,0,9.0,1050,745,0,1795,0.0,0.0,2,0,4,1,9,7,49,0,0.0,Attchd,1.0,1.0,352.0,4.0,9.0,1,0,0,0,0,0,0,0.0,0.0,None,0,11,2008,WD ,1,131500
44,1378,905102170,20,RL,70.0,11200,Pave,None,16,Lvl,16,Inside,9,Sawyer,Norm,Norm,1Fam,1Story,25,25,1965,1965,Hip,CompShg,HdBoard,HdBoard,0,0.0,9,9,CBlock,9.0,9.0,1.0,9.0,906.0,1.0,0.0,134.0,1040.0,GasA,25,1,25.0,1040,0,0,1040,1.0,0.0,1,0,3,1,9,5,49,0,0.0,Detchd,1.0,1.0,384.0,9.0,9.0,1,0,0,0,0,0,0,0.0,0.0,None,0,2,2008,WD ,1,129500
45,1537,909281110,70,RL,100.0,9670,Pave,None,9,HLS,16,Inside,16,Crawfor,Norm,Norm,1Fam,2Story,64,36,1935,1950,Gable,CompShg,BrkFace,Stucco,1,40.0,9,9,PConc,9.0,4.0,1.0,4.0,210.0,1.0,0.0,398.0,608.0,GasA,9,1,25.0,983,890,0,1873,0.0,0.0,1,1,4,1,9,9,49,2,16.0,Detchd,9.0,2.0,786.0,4.0,9.0,1,0,0,207,0,0,0,0.0,0.0,None,0,6,2008,WD ,1,257076
46,905,909101140,50,RL,60.0,10998,Pave,Grvl,16,Lvl,16,Inside,9,Edwards,Norm,Norm,1Fam,1.5Fin,25,25,1941,1960,Gable,CompShg,Wd Sdng,Wd Sdng,0,0.0,9,9,CBlock,9.0,9.0,1.0,4.0,408.0,16.0,420.0,156.0,984.0,GasA,25,1,25.0,984,620,0,1604,0.0,0.0,2,0,3,1,9,6,25,0,0.0,Detchd,1.0,2.0,660.0,9.0,9.0,1,0,68,0,0,0,0,0.0,0.0,None,0,7,2009,WD ,1,117000
47,1532,909275050,70,RL,60.0,7200,Pave,None,16,HLS,16,Inside,16,Crawfor,Norm,Norm,1Fam,2Story,49,36,1931,2000,Gable,CompShg,Stucco,Wd Shng,0,0.0,9,4,BrkTil,16.0,9.0,1.0,1.0,0.0,1.0,0.0,776.0,776.0,GasA,9,1,25.0,851,651,0,1502,0.0,0.0,1,1,3,1,9,6,49,1,16.0,Attchd,4.0,1.0,270.0,9.0,9.0,1,0,0,112,0,0,0,0.0,9.0,None,0,2,2008,WD ,1,149000
48,132,534475100,20,RL,80.0,9920,Pave,None,16,Lvl,16,Inside,9,NAmes,Norm,Norm,1Fam,1Story,25,25,1954,1954,Gable,CompShg,HdBoard,HdBoard,1,110.0,9,9,CBlock,9.0,9.0,1.0,9.0,354.0,4.0,290.0,412.0,1056.0,GasA,9,1,25.0,1063,0,0,1063,1.0,0.0,1,0,3,1,9,6,49,0,0.0,Attchd,4.0,1.0,280.0,9.0,9.0,1,0,0,164,0,0,0,0.0,9.0,None,0,2,2010,WD ,1,128000
